Image,Description,Ground Truth
cju2r11x7sdgx0988o8ule0wl.png,"one medium yellow round polyp, located in right of the image
",cju2r11x7sdgx0988o8ule0wl.png
cju1cu1u2474n0878tt7v4tdr.png,"two small white round polyp, located in top right, bottom right of the image
",cju1cu1u2474n0878tt7v4tdr.png
cju2ulk385h170799rlklxob0.png,"two large yellow oval polyp, located in top left, right of the image
",cju2ulk385h170799rlklxob0.png
cju7ctvqn25dy08186g442m1r.png,"one medium white round polyp, located in top of the image
",cju7ctvqn25dy08186g442m1r.png
cju1fm3id6gl50801r3fok20c.png,"one small white circle polyp, located in center of the image
",cju1fm3id6gl50801r3fok20c.png
cju8ashhnquqr0801rwduzt7d.png,"one small pink oval polyp, located in center of the image
",cju8ashhnquqr0801rwduzt7d.png
cju2t62nq45jl0799odpufwx6.png,"one medium white oval polyp, located in right of the image
",cju2t62nq45jl0799odpufwx6.png
cju8czvnztbf40871b4m7t78w.png,"one medium yellow it is a round shape polyp, located in center of the image
",cju8czvnztbf40871b4m7t78w.png
cju2qtee81yd708787bsjr75d.png,"one medium brown circle polyp, located in center of the image
",cju2qtee81yd708787bsjr75d.png
cju785htizjzo08017tvlhtg4.png,"one medium orange circle polyp, located in center of the image
",cju785htizjzo08017tvlhtg4.png
cju42qet0lsq90871e50xbnuv.png,"one small yellow oval polyp, located in center of the image
",cju42qet0lsq90871e50xbnuv.png
cju8a1jtvpt9m081712iwkca7.png,"two medium pink round polyp, located in top left, right of the image
",cju8a1jtvpt9m081712iwkca7.png
cju1f8w0t65en0799m9oacq0q.png,"one medium pink round polyp, located in right of the image
",cju1f8w0t65en0799m9oacq0q.png
cju45n0oxn5vu08500yfrt9jn.png,"one medium white triangular polyp, located in bottom right of the image
",cju45n0oxn5vu08500yfrt9jn.png
cju14g8o4xui30878gkgbrvqj.png,"one small white a circle polyp, located in right of the image
",cju14g8o4xui30878gkgbrvqj.png
cju2nsmwjlzyl0993jl80chvz.png,"one small white circle polyp, located in center of the image
",cju2nsmwjlzyl0993jl80chvz.png
cju83h9ysjwe808716nt35oah.png,"one small white oval polyp, located in bottom right of the image
",cju83h9ysjwe808716nt35oah.png
cju33mirdc8mj0799k33wzoes.png,"one medium yellow round polyp, located in right of the image
",cju33mirdc8mj0799k33wzoes.png
cju5ca9hcatkc0801jzwe7tfx.png,"one medium white round polyp, located in center of the image
",cju5ca9hcatkc0801jzwe7tfx.png
cju7ddtz729960801uazp1knc.png,"two medium red round polyp, located in top left, bottom of the image
",cju7ddtz729960801uazp1knc.png
cju34ymm8d6700799uop0cw33.png,"one small yellow oval polyp, located in bottom of the image
",cju34ymm8d6700799uop0cw33.png
cju87mrypnb1e0818scv1mxxg.png,"one small yellow triangular polyp, located in center of the image
",cju87mrypnb1e0818scv1mxxg.png
cju8bljw9rqk20801kr54akrl.png,"one medium brown round polyp, located in center of the image
",cju8bljw9rqk20801kr54akrl.png
ck2bxqz3evvg20794iiyv5v2m.png,"one medium white circle polyp, located in center of the image
",ck2bxqz3evvg20794iiyv5v2m.png
cju31t8xd17bk0835rnb893jk.png,"two small white round polyp, located in bottom right, bottom right of the image
",cju31t8xd17bk0835rnb893jk.png
cju5wrrs0m2af0818vmnajbtw.png,"one small white circle polyp, located in right of the image
",cju5wrrs0m2af0818vmnajbtw.png
cju76erapykj30871x5eaxh4q.png,"one medium white round polyp, located in right of the image
",cju76erapykj30871x5eaxh4q.png
cju5jz5fff8c50871hbe6108f.png,"one medium orange round polyp, located in center of the image
",cju5jz5fff8c50871hbe6108f.png
cju5ukkg6kv7u08011x2b6zl5.png,"one medium white round polyp, located in bottom of the image
",cju5ukkg6kv7u08011x2b6zl5.png
cju8c1a0ws7o208181c6lbsom.png,"one large yellow round polyp, located in top right of the image
",cju8c1a0ws7o208181c6lbsom.png
cju1bhnfitmge0835ynls0l6b.png,"one small white oval polyp, located in right of the image
",cju1bhnfitmge0835ynls0l6b.png
cju8418jhkf7d0818ga2v0xq0.png,"one large white round polyp, located in center of the image
",cju8418jhkf7d0818ga2v0xq0.png
cju6yywx1whbb0871ksgfgf9f.png,"one medium brown round polyp, located in top right of the image
",cju6yywx1whbb0871ksgfgf9f.png
cju2qqn5ys4uo0988ewrt2ip2.png,"one large brown round polyp, located in center of the image
",cju2qqn5ys4uo0988ewrt2ip2.png
cju2oo0wh0bqy0878biujeyhe.png,"one small white oval polyp, located in right of the image
",cju2oo0wh0bqy0878biujeyhe.png
cju2hos57llxm08359g92p6jj.png,"one medium tan oval polyp, located in right of the image
",cju2hos57llxm08359g92p6jj.png
ck2bxknhjvs1x0794iogrq49k.png,"two small, medium white round polyp, located in right, center of the image
",ck2bxknhjvs1x0794iogrq49k.png
cju6x35ervu2808015c7eoqe4.png,"one medium white round polyp, located in center of the image
",cju6x35ervu2808015c7eoqe4.png
cju76lsehyia10987u54vn8rb.png,"one small white circle polyp, located in right of the image
",cju76lsehyia10987u54vn8rb.png
cju88z8bson4h0871nnd7fdxo.png,"one medium tan round polyp, located in center of the image
",cju88z8bson4h0871nnd7fdxo.png
cju1f5x1164xv08555654c24r.png,"two medium white triangular polyp, located in top left, right of the image
",cju1f5x1164xv08555654c24r.png
cju0sr5ghl0nd08789uzf1raf.png,"two small white oval polyp, located in top, bottom of the image
",cju0sr5ghl0nd08789uzf1raf.png
cju8dqkrqu83i0818ev74qpxq.png,"one large white round polyp, located in center of the image
",cju8dqkrqu83i0818ev74qpxq.png
cju2nqapmzvk20801f9us40dx.png,"three small, medium pink round polyp, located in top left, left, bottom of the image
",cju2nqapmzvk20801f9us40dx.png
cju2r2obh2bjm08553kng0rh7.png,"one medium white circle polyp, located in center of the image
",cju2r2obh2bjm08553kng0rh7.png
cju7d9seq29zd0871nzl2uu5m.png,"one medium white round polyp, located in center of the image
",cju7d9seq29zd0871nzl2uu5m.png
cju6w733bveoz0817e600tw72.png,"one medium pink round polyp, located in bottom of the image
",cju6w733bveoz0817e600tw72.png
cju0roawvklrq0799vmjorwfv.png,"three small, medium white round polyp, located in top left, right, top right of the image
",cju0roawvklrq0799vmjorwfv.png
cju7dglf226g50987ohbthl19.png,"one medium white round polyp, located in top right of the image
",cju7dglf226g50987ohbthl19.png
cju43o6n7m9nk087191ijwqq9.png,"one small yellow round polyp, located in right of the image
",cju43o6n7m9nk087191ijwqq9.png
cju2r6mt2om21099352pny5gw.png,"one medium yellow round polyp, located in right of the image
",cju2r6mt2om21099352pny5gw.png
cju5w7xn0lrkq0801f9k0htgx.png,"one medium brown round polyp, located in center of the image
",cju5w7xn0lrkq0801f9k0htgx.png
cju7eea9b2m0z0801ynqv1fqu.png,"three small white round polyp, located in top left, top, bottom right of the image
",cju7eea9b2m0z0801ynqv1fqu.png
cju8aqq8uqmoq0987hphto9gg.png,"one medium white round polyp, located in right of the image
",cju8aqq8uqmoq0987hphto9gg.png
cju2qz06823a40878ojcz9ccx.png,"one medium white oval polyp, located in right of the image
",cju2qz06823a40878ojcz9ccx.png
cju5ew4h9cqaf0818rrczkmqh.png,"one medium orange round polyp, located in center of the image
",cju5ew4h9cqaf0818rrczkmqh.png
cju33231uy4gi0993qc7b1jch.png,"one small white oval polyp, located in right of the image
",cju33231uy4gi0993qc7b1jch.png
cju14hjh2ob2o0835ouz3r5aa.png,"one medium white round polyp, located in bottom right of the image
",cju14hjh2ob2o0835ouz3r5aa.png
cju7aez2x1jtj0871ztezs3oi.png,"one small brown round polyp, located in center of the image
",cju7aez2x1jtj0871ztezs3oi.png
cju5clr68b48r0755cmuvponm.png,"one medium white circle polyp, located in center of the image
",cju5clr68b48r0755cmuvponm.png
cju88t4fvokxf07558ymyh281.png,"one small white circle polyp, located in center of the image
",cju88t4fvokxf07558ymyh281.png
cju2uwz9f5yf1085506cfamfx.png,"one medium pink round polyp, located in right of the image
",cju2uwz9f5yf1085506cfamfx.png
cju8402x1kcy70801t6kz6bdi.png,"one medium pink round polyp, located in center of the image
",cju8402x1kcy70801t6kz6bdi.png
cju0s690hkp960855tjuaqvv0.png,"one small brown middle of ear polyp, located in bottom of the image
",cju0s690hkp960855tjuaqvv0.png
cju1cdxvz48hw0801i0fjwcnk.png,"one small white circle polyp, located in right of the image
",cju1cdxvz48hw0801i0fjwcnk.png
cju7fazv92ywx0755xov2erga.png,"two large white round polyp, located in top left, bottom of the image
",cju7fazv92ywx0755xov2erga.png
cju787jnjzjuj0871p94nck9g.png,"one medium pink oval polyp, located in top right of the image
",cju787jnjzjuj0871p94nck9g.png
cju3518w2d838079939fqztbc.png,"two medium yellow round polyp, located in top left, bottom of the image
",cju3518w2d838079939fqztbc.png
cju358pwtdby20878cg7nm0np.png,"one small white circle polyp, located in left of the image
",cju358pwtdby20878cg7nm0np.png
cju884985nlmx0817vzpax3y4.png,"two small white circle polyp, located in right, right of the image
",cju884985nlmx0817vzpax3y4.png
cju7avvi51iox0817ym55y6tt.png,"one large white round polyp, located in center of the image
",cju7avvi51iox0817ym55y6tt.png
cju8a2itsq4dv0755ntlovpxe.png,"one small white triangular polyp, located in center of the image
",cju8a2itsq4dv0755ntlovpxe.png
cju18849rrsgr0988p90hkygb.png,"one medium tan round polyp, located in center of the image
",cju18849rrsgr0988p90hkygb.png
cju2xs6na81t20878pt6nkfip.png,"one medium brown round polyp, located in right of the image
",cju2xs6na81t20878pt6nkfip.png
cju2r7h21sj9608354gzks3ae.png,"one small brown circle polyp, located in bottom of the image
",cju2r7h21sj9608354gzks3ae.png
cju2nbdpmlmcj0993s1cht0dz.png,"one medium white round polyp, located in right of the image
",cju2nbdpmlmcj0993s1cht0dz.png
cju40poe4kt9s0755f9cnm3h5.png,"one medium white circle polyp, located in right of the image
",cju40poe4kt9s0755f9cnm3h5.png
cju42romflni20817etb9a0fl.png,"one medium white round polyp, located in center of the image
",cju42romflni20817etb9a0fl.png
cju2osuru0ki00855txo0n3uu.png,"one medium white round polyp, located in top of the image
",cju2osuru0ki00855txo0n3uu.png
cju8cwy02t9eq08185qn12c02.png,"two medium white round polyp, located in top left, top of the image
",cju8cwy02t9eq08185qn12c02.png
cju40taxlkrho0987smigg0x0.png,"one medium white round polyp, located in center of the image
",cju40taxlkrho0987smigg0x0.png
cju1amqw6p8pw0993d9gc5crl.png,"one small white oval polyp, located in right of the image
",cju1amqw6p8pw0993d9gc5crl.png
cju1hyolc7aqu0878rrkfn1lr.png,"one small pink oval polyp, located in left of the image
",cju1hyolc7aqu0878rrkfn1lr.png
cju3yht87j83m08507yk1u1fg.png,"one large white round polyp, located in center of the image
",cju3yht87j83m08507yk1u1fg.png
cju16jgnyzp970878melv7r25.png,"one medium white round polyp, located in right of the image
",cju16jgnyzp970878melv7r25.png
cju1cnnziug1l0835yh4ropyg.png,"one medium white round polyp, located in right of the image
",cju1cnnziug1l0835yh4ropyg.png
cju6xlygpw7bs0818n691jsq4.png,"one large yellow round polyp, located in right of the image
",cju6xlygpw7bs0818n691jsq4.png
cju5x15djm7ae0755h8czf6nt.png,"one medium brown round polyp, located in top right of the image
",cju5x15djm7ae0755h8czf6nt.png
cju77idwfz36d0871tzfzz51i.png,"one medium brown mouth polyp, located in bottom of the image
",cju77idwfz36d0871tzfzz51i.png
cju5ekty5ckzf07550c9u3ckk.png,"one medium pink oval polyp, located in center of the image
",cju5ekty5ckzf07550c9u3ckk.png
cju7dsrtb2f8i085064kwugfk.png,"one medium white round polyp, located in bottom of the image
",cju7dsrtb2f8i085064kwugfk.png
cju2yyhsp933j0855hp32e012.png,"one medium yellow oval polyp, located in right of the image
",cju2yyhsp933j0855hp32e012.png
cju41kd7yl4nm0850gil5qqwh.png,"one small white round polyp, located in center of the image
",cju41kd7yl4nm0850gil5qqwh.png
cju6x97w4vwua0850x0997r0a.png,"one small white triangular polyp, located in center of the image
",cju6x97w4vwua0850x0997r0a.png
cju2wxv0hxs2f09884w48v8fi.png,"one small brown round polyp, located in right of the image
",cju2wxv0hxs2f09884w48v8fi.png
cju7bb3ss1uoo0755pmhyco7t.png,"one medium white round polyp, located in center of the image
",cju7bb3ss1uoo0755pmhyco7t.png
cju45ofd9ne1j0801ri8dup7t.png,"two large white round polyp, located in top left, center of the image
",cju45ofd9ne1j0801ri8dup7t.png
cju323ypb1fbb0988gx5rzudb.png,"two large white round polyp, located in top left, bottom of the image
",cju323ypb1fbb0988gx5rzudb.png
cju7awzmu1ncs0871hziy65zx.png,"one small white oval polyp, located in right of the image
",cju7awzmu1ncs0871hziy65zx.png
cju45lbgznahl08180xz1h7u6.png,"one medium white circle polyp, located in center of the image
",cju45lbgznahl08180xz1h7u6.png
cju418rckl3ur08012psrx1r1.png,"one medium white round polyp, located in right of the image
",cju418rckl3ur08012psrx1r1.png
cju87ox0kncom0801b98hqnd2.png,"one small tan oval polyp, located in top of the image
",cju87ox0kncom0801b98hqnd2.png
cju6x4t13vyw60755gtcf9ndu.png,"one medium white round polyp, located in right of the image
",cju6x4t13vyw60755gtcf9ndu.png
cju2lz8vqktne0993fuym6drw.png,"one small tan round polyp, located in bottom of the image
",cju2lz8vqktne0993fuym6drw.png
cju87z6o6nh73085045bzsx6o.png,"one medium white round polyp, located in right of the image
",cju87z6o6nh73085045bzsx6o.png
cju7arvfe1ldu0850erdmphgj.png,"one medium white round polyp, located in center of the image
",cju7arvfe1ldu0850erdmphgj.png
cju0t4oil7vzk099370nun5h9.png,"one large white round polyp, located in right of the image
",cju0t4oil7vzk099370nun5h9.png
cju5ddda9bkkt0850enzwatb1.png,"one small brown round polyp, located in top of the image
",cju5ddda9bkkt0850enzwatb1.png
cju7b2l561oas0871decgslaf.png,"one medium tan oval polyp, located in left of the image
",cju7b2l561oas0871decgslaf.png
cjyzurzvohqnr0794es1itzek.png,"one medium pink kidney polyp, located in right of the image
",cjyzurzvohqnr0794es1itzek.png
cju8amfdtqi4x09871tygrgqe.png,"one medium white round polyp, located in center of the image
",cju8amfdtqi4x09871tygrgqe.png
cju2zjcvj9qma0801dk71hhi0.png,"two medium white round polyp, located in right, left of the image
",cju2zjcvj9qma0801dk71hhi0.png
cju336l68y7if0993wf092166.png,"one medium white round polyp, located in center of the image
",cju336l68y7if0993wf092166.png
cju8at3s1qqqx0850hcq8nmnq.png,"one small white circle polyp, located in bottom right of the image
",cju8at3s1qqqx0850hcq8nmnq.png
cju7787c5yy3l080159mwqsnj.png,"one small tan oval polyp, located in right of the image
",cju7787c5yy3l080159mwqsnj.png
cju35c4wzdhow0799h6eq4sgs.png,"two medium white round polyp, located in top left, bottom right of the image
",cju35c4wzdhow0799h6eq4sgs.png
cju0qx73cjw570799j4n5cjze.png,"one large white round polyp, located in right of the image
",cju0qx73cjw570799j4n5cjze.png
cju414lf2l1lt0801rl3hjllj.png,"four small white round polyp, located in top, left, bottom, bottom left of the image
",cju414lf2l1lt0801rl3hjllj.png
cju2mfjndoz700988b9lc3zeq.png,"one medium tan round polyp, located in right of the image
",cju2mfjndoz700988b9lc3zeq.png
cju5yimthmlv80850zhoc90c2.png,"one small white circle polyp, located in bottom of the image
",cju5yimthmlv80850zhoc90c2.png
cju2nd7l7z98o0799gfjvyfmw.png,"one medium white circle polyp, located in right of the image
",cju2nd7l7z98o0799gfjvyfmw.png
cju3u39fog1bo0871lxjrabks.png,"two medium tan round polyp, located in top left, top of the image
",cju3u39fog1bo0871lxjrabks.png
cju3x9lttikfb0818a0g104zn.png,"one small white triangular polyp, located in center of the image
",cju3x9lttikfb0818a0g104zn.png
